Freq,SA Max Hold,N medición
4056000000,-58.8813823103181,\AutoSave102.csv
4056500000,-59.2360993384481,\AutoSave102.csv
4057000000,-59.2626479553335,\AutoSave102.csv
4057500000,-58.1633488048971,\AutoSave102.csv
4058000000,-59.661274042006,\AutoSave102.csv
4058500000,-58.4156842935382,\AutoSave102.csv
4059000000,-58.4857502654964,\AutoSave102.csv
4059500000,-58.7951214470649,\AutoSave102.csv
4060000000,-58.5485840091204,\AutoSave102.csv
4060500000,-59.2748627028114,\AutoSave102.csv
4061000000,-58.2442966969156,\AutoSave102.csv
4061500000,-57.9216808563716,\AutoSave102.csv
4062000000,-57.684418366824,\AutoSave102.csv
4062500000,-58.6414987739561,\AutoSave102.csv
4063000000,-58.6655036977468,\AutoSave102.csv
4063500000,-58.3323126894944,\AutoSave102.csv
4064000000,-58.6938516190428,\AutoSave102.csv
4064500000,-59.5469030546377,\AutoSave102.csv
4065000000,-57.6677170039551,\AutoSave102.csv
4065500000,-57.7601538429409,\AutoSave102.csv
4066000000,-57.6441330757901,\AutoSave102.csv
4066500000,-58.4566921599181,\AutoSave102.csv
4067000000,-58.2012250617065,\AutoSave102.csv
4067500000,-58.0099175782888,\AutoSave102.csv
4068000000,-57.4915647604423,\AutoSave102.csv
4068500000,-59.2053501151604,\AutoSave102.csv
4069000000,-58.1285116227843,\AutoSave102.csv
4069500000,-58.7314460177471,\AutoSave102.csv
4070000000,-59.3713249508309,\AutoSave102.csv
4070500000,-58.2015132035197,\AutoSave102.csv
4071000000,-57.9516047894866,\AutoSave102.csv
4071500000,-58.8347532185033,\AutoSave102.csv
4072000000,-56.9757121414894,\AutoSave102.csv
4072500000,-59.138424517017,\AutoSave102.csv
4073000000,-59.1658329714455,\AutoSave102.csv
4073500000,-57.7889723394524,\AutoSave102.csv
4074000000,-58.5604799795489,\AutoSave102.csv
4074500000,-57.9868186628281,\AutoSave102.csv
4075000000,-59.4399709909427,\AutoSave102.csv
4075500000,-59.271418214903,\AutoSave102.csv
4076000000,-58.600899570846,\AutoSave102.csv
4076500000,-58.7181074506062,\AutoSave102.csv
4077000000,-57.9880658135808,\AutoSave102.csv
4077500000,-59.6428281850007,\AutoSave102.csv
4078000000,-58.5463066126881,\AutoSave102.csv
4078500000,-59.4451826812304,\AutoSave102.csv
4079000000,-58.5256160354185,\AutoSave102.csv
